agent_slug,agent_name,bad_url,status_code,severity,redirect_destination,notes
ada,Ada,https://en.wikipedia.org/wiki/Ada_(company),404,HIGH,,Page not found
adroll,AdRoll,https://en.wikipedia.org/wiki/AdRoll,404,HIGH,,Page not found
aircall-ai,Aircall AI,https://en.wikipedia.org/wiki/Aircall,404,HIGH,,Page not found
backstory,Backstory,https://en.wikipedia.org/wiki/People.ai,404,HIGH,,Page not found
causaly,Causaly,https://en.wikipedia.org/wiki/Causaly,404,HIGH,,Page not found
clay,Clay,https://en.wikipedia.org/wiki/Clay_Labs,404,HIGH,,Page not found
connected-papers,Connected Papers,https://en.wikipedia.org/wiki/Connected_Papers,404,HIGH,,Page not found
deel,Deel,https://en.wikipedia.org/wiki/Deel_(software_company),404,HIGH,,Page not found
demandbase,Demandbase,https://en.wikipedia.org/wiki/Demandbase,404,HIGH,,Page not found
dimensions-ai,Dimensions AI,https://en.wikipedia.org/wiki/Dimensions_(search_engine),404,HIGH,,Page not found
drift-conversational-marketing,Drift Conversational Marketing,https://en.wikipedia.org/wiki/Drift_(software),404,HIGH,,Page not found
eightfold-ai,Eightfold AI,https://en.wikipedia.org/wiki/Eightfold.ai,404,HIGH,,Page not found
gladly,Gladly,https://en.wikipedia.org/wiki/Gladly_(company),404,HIGH,,Page not found
gong,Gong,https://en.wikipedia.org/wiki/Gong_(company),404,HIGH,,Page not found
h2ogpte,h2oGPTe,https://en.wikipedia.org/wiki/H2O.ai,404,HIGH,,Page not found
harvey-ai,Harvey AI,https://en.wikipedia.org/wiki/Harvey_AI,404,HIGH,,Page not found
helpshift,Helpshift,https://en.wikipedia.org/wiki/Helpshift,404,HIGH,,Page not found
influential,Influential,https://en.wikipedia.org/wiki/Influential_(company),404,HIGH,,Page not found
jacquard,Jacquard,https://en.wikipedia.org/wiki/Phrasee,404,HIGH,,Page not found
kustomer,Kustomer,https://en.wikipedia.org/wiki/Kustomer,404,HIGH,,Page not found
lattice,Lattice,https://en.wikipedia.org/wiki/Lattice_(company),404,HIGH,,Page not found
make,Make,https://en.wikipedia.org/wiki/Make.com,404,HIGH,,Page not found
outreach,Outreach,https://en.wikipedia.org/wiki/Outreach_(company),404,HIGH,,Page not found
paradox,Paradox,https://en.wikipedia.org/wiki/Paradox_(company),404,HIGH,,Page not found
persado,Persado,https://en.wikipedia.org/wiki/Persado,404,HIGH,,Page not found
researchrabbit,ResearchRabbit,https://en.wikipedia.org/wiki/ResearchRabbit,404,HIGH,,Page not found
semantic-scholar,Semantic Scholar,https://allenai.org/semantic-scholar,404,HIGH,,Page not found
sixsense,6sense,https://en.wikipedia.org/wiki/6sense,404,HIGH,,Page not found
smartly-io,Smartly.io,https://en.wikipedia.org/wiki/Smartly.io,404,HIGH,,Page not found
swe-agent,SWE-agent,https://en.wikipedia.org/wiki/SWE-bench,404,HIGH,,Page not found
talkdesk,Talkdesk,https://en.wikipedia.org/wiki/Talkdesk,404,HIGH,,Page not found
tidio,Tidio,https://en.wikipedia.org/wiki/Tidio,404,HIGH,,Page not found
vidyard,Vidyard,https://en.wikipedia.org/wiki/Vidyard,404,HIGH,,Page not found
workable,Workable,https://en.wikipedia.org/wiki/Workable_(company),404,HIGH,,Page not found
11x-alice,11x Alice,https://www.crunchbase.com/organization/11x-ai,403,LOW,,"Access blocked, manual check needed"
ada,Ada,https://www.g2.com/products/ada-support-inc-ada/reviews,403,LOW,,"Access blocked, manual check needed"
adcreative-ai,AdCreative.ai,https://www.crunchbase.com/organization/adcreative-ai,403,LOW,,"Access blocked, manual check needed"
adroll,AdRoll,https://www.g2.com/products/adroll/reviews,403,LOW,,"Access blocked, manual check needed"
aident-ai,Aident AI,https://www.crunchbase.com/organization/aident-ai,403,LOW,,"Access blocked, manual check needed"
aident-ai,Aident AI,https://www.producthunt.com/products/aident-ai,403,LOW,,"Access blocked, manual check needed"
aider,Aider,https://www.producthunt.com/products/aider,403,LOW,,"Access blocked, manual check needed"
aisdr,AiSDR,https://www.crunchbase.com/organization/aisdr,403,LOW,,"Access blocked, manual check needed"
aisera,Aisera,https://www.g2.com/products/aisera/reviews,403,LOW,,"Access blocked, manual check needed"
albert-ai,Albert AI,https://www.g2.com/products/albert-ai/reviews,403,LOW,,"Access blocked, manual check needed"
albert-ai,Albert AI,https://www.crunchbase.com/organization/albert-2,403,LOW,,"Access blocked, manual check needed"
anyword,Anyword,https://www.g2.com/products/anyword/reviews,403,LOW,,"Access blocked, manual check needed"
anyword,Anyword,https://www.producthunt.com/products/anyword,403,LOW,,"Access blocked, manual check needed"
apollo-io,Apollo.io,https://www.g2.com/products/apollo-io/reviews,403,LOW,,"Access blocked, manual check needed"
apollo-io,Apollo.io,https://www.crunchbase.com/organization/zenprospect,403,LOW,,"Access blocked, manual check needed"
apollo-io,Apollo.io,https://www.producthunt.com/products/apollo-io,403,LOW,,"Access blocked, manual check needed"
artisan-ava,Artisan Ava,https://www.g2.com/products/artisan/reviews,403,LOW,,"Access blocked, manual check needed"
